event_id,user_id,event_time,event_name,order_value
E0053,U0010,2025-02-13,login,
E0054,U0010,2025-04-11,feature_used,
E0055,U0011,2025-02-12,browse,
E0056,U0011,2025-03-26,purchase,88.82
E0057,U0011,2025-03-29,purchase,34.19
E0058,U0011,2025-02-11,purchase,8.35
E0059,U0012,2025-02-14,purchase,114.81
E0060,U0012,2025-01-10,login,
E0061,U0012,2025-04-10,login,
E0062,U0012,2025-01-09,login,
E0063,U0012,2025-02-23,purchase,47.75
E0064,U0012,2025-04-30,login,
E0065,U0012,2025-04-29,browse,
E0066,U0013,2025-04-13,browse,
E0067,U0013,2025-04-01,login,
E0068,U0013,2025-03-31,browse,
E0069,U0014,2025-03-25,login,
E0070,U0014,2025-02-22,browse,
E0071,U0014,2025-04-01,browse,
E0072,U0014,2025-03-23,login,
E0073,U0014,2025-03-09,purchase,63.19
E0074,U0014,2025-03-06,purchase,91.45
E0075,U0014,2025-04-24,login,
E0076,U0014,2025-03-31,feature_used,
E0077,U0015,2025-04-30,login,
E0078,U0015,2025-04-19,purchase,69.78
E0079,U0015,2025-02-10,login,
E0080,U0015,2025-04-03,purchase,42.53
E0081,U0016,2025-03-01,login,
E0082,U0016,2025-03-12,login,
E0083,U0016,2025-02-16,browse,
E0084,U0016,2025-04-29,purchase,59.78
E0085,U0016,2025-03-12,purchase,67.62
E0086,U0016,2025-01-26,login,
E0087,U0016,2025-02-09,login,
E0088,U0016,2025-03-30,feature_used,
E0089,U0017,2025-04-22,login,
E0090,U0017,2025-04-13,purchase,12.94
E0091,U0017,2025-02-15,purchase,106.14
E0092,U0017,2025-01-28,login,
E0093,U0017,2025-04-20,purchase,15.93
E0094,U0018,2025-02-05,purchase,64.3
E0095,U0018,2025-04-08,login,
E0096,U0018,2025-04-03,purchase,10.22
E0097,U0018,2025-01-24,purchase,112.07
E0098,U0018,2025-01-24,purchase,19.7
E0099,U0018,2025-04-16,browse,
E0100,U0018,2025-01-04,login,
E0101,U0018,2025-04-08,feature_used,
E0102,U0019,2025-02-23,purchase,28.41
E0103,U0019,2025-03-11,login,
E0104,U0019,2025-04-11,login,
E0105,U0019,2025-02-26,purchase,106.51
E0106,U0019,2025-01-10,browse,
E0107,U0019,2025-02-09,purchase,26.98
E0108,U0019,2025-04-02,feature_used,
E0109,U0020,2025-04-21,browse,
E0110,U0020,2025-02-10,browse,
E0111,U0020,2025-03-10,browse,
E0112,U0020,2025-01-13,login,
E0113,U0020,2025-03-28,login,
E0114,U0020,2025-02-27,purchase,36.22
E0115,U0020,2025-03-30,feature_used,
E0116,U0021,2025-02-16,browse,
E0117,U0021,2025-04-28,login,
E0118,U0021,2025-04-10,browse,
E0119,U0021,2025-02-08,login,
E0120,U0021,2025-01-16,login,
E0121,U0021,2025-04-06,feature_used,
E0122,U0022,2025-03-15,purchase,64.52
E0123,U0022,2025-02-01,login,
E0124,U0022,2025-02-28,purchase,77.27
E0125,U0022,2025-02-03,browse,
E0126,U0022,2025-03-18,feature_used,
E0127,U0023,2025-04-21,login,
E0128,U0023,2025-01-25,purchase,63.52
E0129,U0023,2025-01-21,login,
E0130,U0023,2025-04-11,login,
E0131,U0023,2025-04-12,purchase,100.16
E0132,U0023,2025-04-23,purchase,87.15
E0133,U0024,2025-04-21,login,
E0134,U0024,2025-01-23,browse,
E0135,U0024,2025-02-08,login,
E0136,U0024,2025-04-10,feature_used,
E0137,U0025,2025-04-03,browse,
E0138,U0025,2025-03-14,browse,
E0139,U0025,2025-01-13,login,
E0140,U0026,2025-03-17,login,
E0141,U0026,2025-04-22,purchase,68.17
E0142,U0026,2025-02-16,login,
E0143,U0026,2025-03-29,feature_used,
E0144,U0027,2025-02-01,purchase,101.48
E0145,U0027,2025-04-06,browse,
E0146,U0027,2025-03-09,browse,
E0147,U0027,2025-01-18,login,
E0148,U0027,2025-04-23,browse,
E0149,U0027,2025-03-24,browse,
E0150,U0028,2025-03-29,login,
E0151,U0028,2025-02-28,purchase,54.4
E0152,U0028,2025-01-29,login,
E0153,U0028,2025-03-24,purchase,60.46
E0154,U0028,2025-01-06,login,
E0155,U0028,2025-04-07,browse,
E0156,U0029,2025-03-21,purchase,41.4
E0157,U0029,2025-02-12,browse,
E0158,U0029,2025-03-15,purchase,62.67
E0159,U0029,2025-03-30,purchase,40.98
E0160,U0029,2025-01-20,purchase,70.75
E0161,U0029,2025-04-05,purchase,109.2
E0162,U0029,2025-03-30,feature_used,
E0163,U0030,2025-04-07,purchase,52.34
E0164,U0030,2025-04-23,browse,
E0165,U0030,2025-01-12,login,
E0166,U0030,2025-02-22,login,
E0167,U0030,2025-03-16,login,
E0168,U0030,2025-01-05,browse,
E0169,U0031,2025-02-02,purchase,82.92
E0170,U0031,2025-03-03,purchase,11.51
E0171,U0031,2025-02-19,purchase,48.87
E0172,U0031,2025-04-22,login,
E0173,U0031,2025-04-15,login,
E0174,U0032,2025-02-23,browse,
E0175,U0032,2025-04-03,purchase,54.68
E0176,U0032,2025-04-30,login,
E0177,U0032,2025-01-20,browse,
E0178,U0032,2025-01-29,browse,
E0179,U0033,2025-03-07,login,
E0180,U0033,2025-01-06,browse,
E0181,U0033,2025-02-27,login,
E0182,U0034,2025-03-25,login,
E0183,U0034,2025-02-10,purchase,35.39
E0184,U0034,2025-02-18,browse,
E0185,U0034,2025-04-01,browse,
E0186,U0035,2025-01-24,browse,
E0187,U0035,2025-03-15,purchase,73.47
E0188,U0035,2025-02-07,purchase,13.69
E0189,U0035,2025-01-22,browse,
E0190,U0035,2025-03-23,feature_used,
E0191,U0036,2025-04-18,browse,
E0192,U0036,2025-01-19,login,
E0193,U0036,2025-03-25,browse,
E0194,U0036,2025-04-09,browse,
E0195,U0036,2025-04-21,purchase,47.92
E0196,U0036,2025-03-07,purchase,82.74
E0197,U0037,2025-02-28,browse,
E0198,U0037,2025-04-10,login,
E0199,U0037,2025-02-28,login,
E0200,U0037,2025-04-08,feature_used,
E0201,U0038,2025-02-22,purchase,106.54
E0202,U0038,2025-03-20,purchase,93.81
E0203,U0038,2025-02-28,browse,
E0204,U0038,2025-01-22,browse,
E0205,U0039,2025-03-06,login,
E0206,U0039,2025-04-23,purchase,115.12
E0207,U0039,2025-02-14,login,
E0208,U0039,2025-03-09,login,
E0209,U0039,2025-01-07,browse,
E0210,U0039,2025-02-18,browse,
E0211,U0040,2025-03-15,browse,
E0212,U0040,2025-04-24,browse,
E0213,U0040,2025-01-27,purchase,107.36
E0214,U0040,2025-04-08,feature_used,
E0215,U0041,2025-04-21,browse,
E0216,U0041,2025-01-15,purchase,72.79
E0217,U0041,2025-01-04,login,
E0218,U0041,2025-04-03,purchase,78.33
E0219,U0041,2025-03-14,browse,
E0220,U0041,2025-01-27,browse,
E0221,U0042,2025-04-27,purchase,8.39
E0222,U0042,2025-01-23,login,
E0223,U0042,2025-04-21,login,
E0224,U0042,2025-03-25,feature_used,
E0225,U0043,2025-02-09,purchase,29.76
E0226,U0043,2025-03-16,login,
E0227,U0043,2025-03-02,purchase,73.4
E0228,U0043,2025-02-19,browse,
E0229,U0044,2025-03-23,purchase,37.58
E0230,U0044,2025-02-07,browse,
E0231,U0044,2025-01-19,purchase,75.93
E0232,U0044,2025-02-05,login,
E0233,U0044,2025-04-10,feature_used,
E0234,U0045,2025-04-20,purchase,66.91
E0235,U0045,2025-04-16,login,
E0236,U0045,2025-03-22,login,
E0237,U0045,2025-03-14,browse,
E0238,U0045,2025-01-06,login,
E0239,U0046,2025-03-26,purchase,86.13
E0240,U0046,2025-01-02,browse,
E0241,U0046,2025-03-02,browse,
E0242,U0046,2025-02-27,purchase,112.67
E0243,U0046,2025-04-17,browse,
E0244,U0047,2025-02-27,purchase,11.46
E0245,U0047,2025-02-26,browse,
E0246,U0047,2025-03-18,purchase,37.32
E0247,U0047,2025-01-04,purchase,52.11
E0248,U0047,2025-03-27,browse,
E0249,U0048,2025-04-22,browse,
E0250,U0048,2025-01-29,purchase,87.87
E0251,U0048,2025-01-05,purchase,83.79
E0252,U0048,2025-04-23,purchase,97.67
E0253,U0048,2025-03-15,login,
E0254,U0048,2025-04-02,purchase,64.23
E0255,U0048,2025-01-21,purchase,34.31
E0256,U0049,2025-02-21,purchase,29.85
E0257,U0049,2025-03-29,purchase,114.57
E0258,U0049,2025-01-25,browse,
E0259,U0049,2025-04-19,browse,
E0260,U0049,2025-04-09,feature_used,
E0261,U0050,2025-04-23,login,
E0262,U0050,2025-03-26,browse,
E0263,U0050,2025-03-02,purchase,100.32
E0264,U0050,2025-03-23,feature_used,
E0265,U0051,2025-02-11,browse,
E0266,U0051,2025-03-28,login,
E0267,U0051,2025-03-22,purchase,75.21
E0268,U0051,2025-03-17,login,
E0269,U0051,2025-03-28,purchase,82.47
E0270,U0051,2025-03-21,login,
E0271,U0051,2025-03-08,browse,
E0272,U0051,2025-03-30,feature_used,
E0273,U0052,2025-01-17,browse,
E0274,U0052,2025-04-29,browse,
E0275,U0052,2025-04-14,browse,
E0276,U0052,2025-03-26,browse,
E0277,U0052,2025-03-07,login,
E0278,U0052,2025-04-11,browse,
E0279,U0052,2025-01-06,login,
E0280,U0053,2025-04-25,purchase,30.57
E0281,U0053,2025-03-19,login,
E0282,U0053,2025-01-10,browse,
E0283,U0053,2025-04-21,purchase,33.22
E0284,U0053,2025-04-05,feature_used,
E0285,U0054,2025-04-28,purchase,69.04
E0286,U0054,2025-01-15,purchase,91.69
E0287,U0054,2025-01-28,login,
E0288,U0054,2025-01-24,purchase,83.08
E0289,U0054,2025-03-13,purchase,91.66
E0290,U0054,2025-03-16,feature_used,
E0291,U0055,2025-01-13,purchase,18.27
E0292,U0055,2025-04-28,login,
E0293,U0055,2025-01-01,login,
E0294,U0055,2025-02-03,login,
E0295,U0055,2025-04-03,login,
E0296,U0056,2025-01-17,browse,
E0297,U0056,2025-03-12,login,
E0298,U0056,2025-01-13,purchase,28.5
E0299,U0056,2025-03-10,login,
E0300,U0057,2025-04-23,purchase,12.94
E0301,U0057,2025-03-03,login,
E0302,U0057,2025-01-17,purchase,69.48
E0303,U0058,2025-01-16,login,
E0304,U0058,2025-01-25,login,
E0305,U0058,2025-02-23,login,
E0306,U0058,2025-01-28,login,
E0307,U0059,2025-04-25,browse,
E0308,U0059,2025-04-18,login,
E0309,U0059,2025-02-20,purchase,56.9
E0310,U0059,2025-03-16,feature_used,
E0311,U0060,2025-02-14,purchase,13.71
E0312,U0060,2025-01-15,browse,
E0313,U0060,2025-01-03,login,
E0314,U0061,2025-02-17,browse,
E0315,U0061,2025-03-07,purchase,67.3
E0316,U0061,2025-04-06,purchase,12.65
E0317,U0061,2025-01-08,login,
E0318,U0061,2025-01-22,login,
E0319,U0061,2025-03-16,feature_used,
E0320,U0062,2025-02-14,login,
E0321,U0062,2025-04-28,purchase,30.31
E0322,U0062,2025-03-20,browse,
E0323,U0062,2025-01-20,browse,
E0324,U0062,2025-03-05,purchase,86.26
E0325,U0062,2025-04-03,purchase,47.49
E0326,U0062,2025-04-16,purchase,80.52
E0327,U0063,2025-01-30,login,
E0328,U0063,2025-04-17,purchase,97.52
E0329,U0063,2025-01-02,login,
E0330,U0063,2025-03-03,purchase,10.6
E0331,U0063,2025-02-18,login,
E0332,U0064,2025-04-22,login,
E0333,U0064,2025-02-14,purchase,82.18
E0334,U0064,2025-03-03,login,
E0335,U0064,2025-02-08,purchase,24.54
E0336,U0064,2025-04-06,login,
E0337,U0064,2025-02-27,purchase,107.4
E0338,U0064,2025-04-26,login,
E0339,U0064,2025-03-30,feature_used,
E0340,U0065,2025-01-21,login,
E0341,U0065,2025-03-05,login,
E0342,U0065,2025-03-31,browse,
E0343,U0065,2025-02-05,browse,
E0344,U0065,2025-04-16,browse,
E0345,U0065,2025-04-12,feature_used,
E0346,U0066,2025-01-11,login,
E0347,U0066,2025-02-23,purchase,104.07
E0348,U0066,2025-01-16,browse,
E0349,U0066,2025-01-08,browse,
E0350,U0066,2025-04-14,purchase,26.61
E0351,U0066,2025-02-28,login,
E0352,U0066,2025-02-26,browse,
E0353,U0067,2025-04-25,login,
E0354,U0067,2025-03-31,browse,
E0355,U0067,2025-01-23,browse,
E0356,U0067,2025-01-18,login,
E0357,U0067,2025-03-03,purchase,78.23
E0358,U0067,2025-04-06,purchase,78.18
E0359,U0067,2025-03-27,feature_used,
E0360,U0068,2025-01-21,browse,
E0361,U0068,2025-04-20,browse,
E0362,U0068,2025-01-13,purchase,94.33
E0363,U0068,2025-01-27,purchase,94.47
E0364,U0068,2025-04-10,purchase,118.08
E0365,U0068,2025-01-07,browse,
E0366,U0069,2025-02-02,browse,
E0367,U0069,2025-01-28,browse,
E0368,U0069,2025-01-08,login,
E0369,U0069,2025-01-01,login,
E0370,U0069,2025-02-06,purchase,99.8
E0371,U0069,2025-03-04,browse,
E0372,U0070,2025-02-25,purchase,108.61
E0373,U0070,2025-04-20,login,
E0374,U0070,2025-02-28,browse,
E0375,U0070,2025-03-22,feature_used,
E0376,U0071,2025-04-07,purchase,112.36
E0377,U0071,2025-02-23,purchase,97.77
E0378,U0071,2025-02-07,browse,
E0379,U0071,2025-02-17,purchase,119.73
E0380,U0071,2025-01-27,purchase,70.68
E0381,U0071,2025-03-27,feature_used,
E0382,U0072,2025-02-04,purchase,102.66
E0383,U0072,2025-04-26,browse,
E0384,U0072,2025-03-16,purchase,6.58
E0385,U0072,2025-04-04,feature_used,
E0386,U0073,2025-03-27,browse,
E0387,U0073,2025-02-07,login,
E0388,U0073,2025-01-31,purchase,101.27
E0389,U0073,2025-03-19,purchase,5.61
E0390,U0073,2025-01-24,purchase,76.83
E0391,U0074,2025-03-24,login,
E0392,U0074,2025-01-25,purchase,89.3
E0393,U0074,2025-03-09,browse,
E0394,U0074,2025-03-02,browse,
E0395,U0074,2025-04-08,feature_used,
E0396,U0075,2025-02-17,browse,
E0397,U0075,2025-03-24,purchase,76.13
E0398,U0075,2025-03-28,purchase,29.34
E0399,U0075,2025-01-24,purchase,55.95
E0400,U0075,2025-01-11,browse,
E0401,U0075,2025-04-20,browse,
E0402,U0076,2025-02-07,login,
E0403,U0076,2025-01-25,browse,
E0404,U0076,2025-01-14,purchase,82.92
E0405,U0076,2025-03-16,browse,
E0406,U0076,2025-02-01,purchase,111.38
E0407,U0076,2025-01-11,login,
E0408,U0076,2025-04-10,feature_used,
E0409,U0077,2025-04-15,browse,
E0410,U0077,2025-02-23,purchase,91.0
E0411,U0077,2025-03-15,purchase,73.92
E0412,U0077,2025-03-26,feature_used,
E0413,U0078,2025-02-16,browse,
E0414,U0078,2025-03-22,browse,
E0415,U0078,2025-04-03,browse,
E0416,U0078,2025-02-15,login,
E0417,U0079,2025-03-20,browse,
E0418,U0079,2025-01-12,browse,
E0419,U0079,2025-02-09,purchase,78.49
E0420,U0079,2025-04-28,browse,
E0421,U0079,2025-01-20,browse,
E0422,U0080,2025-02-06,browse,
E0423,U0080,2025-02-18,browse,
E0424,U0080,2025-04-12,purchase,73.18
E0425,U0080,2025-03-07,purchase,10.98
E0426,U0080,2025-03-22,feature_used,
E0427,U0081,2025-01-30,purchase,106.54
E0428,U0081,2025-03-22,browse,
E0429,U0081,2025-03-25,purchase,29.29
E0430,U0081,2025-04-26,login,
E0431,U0082,2025-02-22,purchase,8.45
E0432,U0082,2025-03-28,browse,
E0433,U0082,2025-03-29,login,
E0434,U0082,2025-03-14,purchase,74.35
E0435,U0082,2025-02-04,login,
E0436,U0083,2025-04-04,login,
E0437,U0083,2025-04-20,login,
E0438,U0083,2025-01-20,browse,
E0439,U0083,2025-04-13,browse,
E0440,U0083,2025-02-22,login,
E0441,U0083,2025-04-29,purchase,68.47
E0442,U0083,2025-01-12,browse,
E0443,U0083,2025-03-26,feature_used,
E0444,U0084,2025-02-03,browse,
E0445,U0084,2025-01-20,purchase,21.94
E0446,U0084,2025-02-19,purchase,118.31
E0447,U0084,2025-04-12,login,
E0448,U0085,2025-02-25,login,
E0449,U0085,2025-01-23,browse,
E0450,U0085,2025-04-14,browse,
E0451,U0085,2025-01-11,purchase,47.04
E0452,U0085,2025-04-20,login,
E0453,U0085,2025-03-05,login,
E0454,U0085,2025-03-19,feature_used,
E0455,U0086,2025-03-27,browse,
E0456,U0086,2025-01-04,purchase,118.47
E0457,U0086,2025-04-05,purchase,16.34
E0458,U0086,2025-03-23,purchase,39.78
E0459,U0087,2025-03-05,browse,
E0460,U0087,2025-04-12,purchase,14.46
E0461,U0087,2025-01-10,purchase,118.19
E0462,U0087,2025-02-09,browse,
E0463,U0087,2025-04-20,login,
E0464,U0087,2025-01-24,purchase,11.55
E0465,U0087,2025-04-09,browse,
E0466,U0088,2025-03-30,purchase,27.91
E0467,U0088,2025-02-17,purchase,66.87
E0468,U0088,2025-01-18,purchase,69.69
E0469,U0088,2025-04-25,login,
E0470,U0088,2025-03-17,browse,
E0471,U0088,2025-02-09,purchase,65.12
E0472,U0088,2025-01-17,login,
E0473,U0089,2025-02-13,browse,
E0474,U0089,2025-02-07,purchase,85.33
E0475,U0089,2025-03-24,purchase,92.68
E0476,U0089,2025-03-01,browse,
E0477,U0089,2025-03-12,login,
E0478,U0089,2025-04-09,login,
E0479,U0090,2025-01-06,browse,
E0480,U0090,2025-03-24,purchase,112.22
E0481,U0090,2025-03-18,login,
E0482,U0090,2025-03-01,purchase,21.24
E0483,U0090,2025-03-31,browse,
E0484,U0090,2025-01-14,login,
E0485,U0090,2025-04-05,browse,
E0486,U0091,2025-04-19,login,
E0487,U0091,2025-04-28,browse,
E0488,U0091,2025-04-08,purchase,70.69
E0489,U0091,2025-03-21,login,
E0490,U0091,2025-01-22,browse,
E0491,U0091,2025-03-17,feature_used,
E0492,U0092,2025-01-03,purchase,102.19
E0493,U0092,2025-02-28,purchase,43.83
E0494,U0092,2025-03-17,login,
E0495,U0092,2025-02-18,purchase,30.36
E0496,U0092,2025-04-09,feature_used,
E0497,U0093,2025-04-13,browse,
E0498,U0093,2025-01-22,login,
E0499,U0093,2025-01-04,login,
E0500,U0093,2025-01-13,login,
E0501,U0093,2025-02-14,browse,
E0502,U0093,2025-02-11,login,
E0503,U0094,2025-01-17,purchase,38.52
E0504,U0094,2025-01-24,purchase,32.39
E0505,U0094,2025-02-27,purchase,72.84
E0506,U0094,2025-03-13,login,
E0507,U0094,2025-04-24,login,
E0508,U0094,2025-04-01,login,
E0509,U0094,2025-04-19,login,
E0510,U0094,2025-03-16,feature_used,
E0511,U0095,2025-01-17,browse,
E0512,U0095,2025-01-30,login,
E0513,U0095,2025-04-13,browse,
E0514,U0095,2025-01-13,browse,
E0515,U0096,2025-03-26,login,
E0516,U0096,2025-04-04,purchase,75.74
E0517,U0096,2025-01-21,login,
E0518,U0096,2025-04-22,browse,
E0519,U0096,2025-02-24,purchase,19.19
E0520,U0097,2025-02-26,browse,
E0521,U0097,2025-02-21,purchase,23.48
E0522,U0097,2025-01-09,purchase,91.68
E0523,U0097,2025-03-29,feature_used,
E0524,U0098,2025-04-07,purchase,24.95
E0525,U0098,2025-04-19,login,
E0526,U0098,2025-03-19,purchase,97.17
E0527,U0098,2025-02-26,browse,
E0528,U0098,2025-01-08,purchase,91.34
E0529,U0098,2025-03-13,purchase,79.92
E0530,U0098,2025-04-09,feature_used,
E0531,U0099,2025-03-26,browse,
E0532,U0099,2025-03-26,browse,
E0533,U0099,2025-02-09,login,
E0534,U0099,2025-01-23,login,
E0535,U0099,2025-02-25,purchase,65.34
E0536,U0099,2025-01-06,login,
E0537,U0099,2025-03-27,login,
E0538,U0099,2025-03-25,feature_used,
E0539,U0100,2025-01-21,purchase,9.77
E0540,U0100,2025-04-25,purchase,35.53
E0541,U0100,2025-03-07,login,
E0542,U0101,2025-03-07,browse,
E0543,U0101,2025-02-07,browse,
E0544,U0101,2025-04-29,login,
E0545,U0101,2025-02-06,purchase,44.07
E0546,U0101,2025-04-25,login,
E0547,U0101,2025-04-26,browse,
E0548,U0102,2025-04-10,browse,
E0549,U0102,2025-04-29,purchase,40.87
E0550,U0102,2025-03-01,purchase,21.36
E0551,U0102,2025-04-11,feature_used,
E0552,U0103,2025-02-11,login,
E0553,U0103,2025-03-23,purchase,118.26
E0554,U0103,2025-02-17,browse,
E0555,U0104,2025-01-27,purchase,22.3
E0556,U0104,2025-01-09,browse,
E0557,U0104,2025-04-21,login,
E0558,U0104,2025-01-16,login,
E0559,U0104,2025-02-25,purchase,62.67
E0560,U0104,2025-03-17,browse,
E0561,U0104,2025-04-05,feature_used,
E0562,U0105,2025-03-14,browse,
E0563,U0105,2025-01-26,purchase,109.0
E0564,U0105,2025-01-20,login,
E0565,U0105,2025-03-05,purchase,92.06
E0566,U0105,2025-03-29,feature_used,
E0567,U0106,2025-03-17,purchase,51.28
E0568,U0106,2025-04-15,purchase,46.03
E0569,U0106,2025-02-22,purchase,38.93
E0570,U0106,2025-02-13,purchase,17.31
E0571,U0106,2025-01-26,browse,
E0572,U0106,2025-04-13,feature_used,
E0573,U0107,2025-01-21,browse,
E0574,U0107,2025-03-30,login,
E0575,U0107,2025-03-25,browse,
E0576,U0107,2025-02-18,login,
E0577,U0107,2025-04-26,login,
E0578,U0107,2025-04-12,feature_used,
E0579,U0108,2025-04-20,login,
E0580,U0108,2025-02-21,login,
E0581,U0108,2025-03-20,login,
E0582,U0108,2025-02-15,browse,
E0583,U0109,2025-04-17,purchase,6.75
E0584,U0109,2025-04-22,purchase,112.13
E0585,U0109,2025-04-18,purchase,70.16
E0586,U0110,2025-02-09,login,
E0587,U0110,2025-04-24,purchase,34.2
E0588,U0110,2025-01-10,login,
E0589,U0110,2025-03-30,browse,
E0590,U0110,2025-02-21,login,
E0591,U0110,2025-03-19,feature_used,
E0592,U0111,2025-04-19,purchase,73.41
E0593,U0111,2025-04-12,login,
E0594,U0111,2025-04-03,purchase,80.75
E0595,U0111,2025-03-10,purchase,24.84
E0596,U0111,2025-03-14,purchase,91.04
E0597,U0112,2025-02-23,login,
E0598,U0112,2025-04-02,purchase,21.6
E0599,U0112,2025-04-04,purchase,11.07
E0600,U0112,2025-03-14,login,
E0601,U0112,2025-04-13,purchase,30.1
E0602,U0112,2025-04-05,login,
E0603,U0112,2025-02-27,purchase,71.06
E0604,U0112,2025-03-24,feature_used,
E0605,U0113,2025-01-21,browse,
E0606,U0113,2025-03-20,purchase,45.34
E0607,U0113,2025-03-22,browse,
E0608,U0113,2025-01-22,purchase,10.96
E0609,U0114,2025-01-17,purchase,30.44
E0610,U0114,2025-02-07,purchase,21.05
E0611,U0114,2025-03-22,purchase,99.72
E0612,U0114,2025-04-22,purchase,94.87
E0613,U0114,2025-03-19,purchase,39.88
E0614,U0114,2025-02-14,purchase,6.93
E0615,U0114,2025-01-06,login,
E0616,U0115,2025-01-23,browse,
E0617,U0115,2025-03-30,purchase,59.69
E0618,U0115,2025-02-03,browse,
E0619,U0115,2025-04-01,feature_used,
E0620,U0116,2025-01-04,login,
E0621,U0116,2025-01-17,purchase,53.03
E0622,U0116,2025-01-14,purchase,63.91
E0623,U0116,2025-03-19,purchase,112.93
E0624,U0117,2025-02-04,purchase,51.37
E0625,U0117,2025-01-19,login,
E0626,U0117,2025-01-20,login,
E0627,U0117,2025-03-25,feature_used,
E0628,U0118,2025-03-06,login,
E0629,U0118,2025-04-09,browse,
E0630,U0118,2025-02-01,browse,
E0631,U0118,2025-02-05,browse,
E0632,U0118,2025-03-29,feature_used,
E0633,U0119,2025-02-09,login,
E0634,U0119,2025-02-28,browse,
E0635,U0119,2025-03-21,login,
E0636,U0119,2025-04-02,browse,
E0637,U0119,2025-01-16,purchase,16.01
E0638,U0119,2025-03-03,purchase,89.12
E0639,U0120,2025-03-07,browse,
E0640,U0120,2025-01-08,login,
E0641,U0120,2025-03-12,login,
E0642,U0120,2025-04-30,purchase,15.51
E0643,U0120,2025-04-18,browse,
E0644,U0120,2025-04-25,browse,
E0645,U0120,2025-04-13,browse,
E0646,U0121,2025-02-08,browse,
E0647,U0121,2025-03-01,browse,
E0648,U0121,2025-04-08,browse,
E0649,U0121,2025-02-12,login,
E0650,U0121,2025-02-14,browse,
E0651,U0121,2025-01-23,login,
E0652,U0121,2025-03-10,purchase,62.55
E0653,U0122,2025-04-06,browse,
E0654,U0122,2025-03-14,purchase,69.33
E0655,U0122,2025-04-11,browse,
E0656,U0122,2025-03-15,purchase,86.98
E0657,U0123,2025-03-22,browse,
E0658,U0123,2025-02-10,purchase,113.88
E0659,U0123,2025-03-24,browse,
E0660,U0123,2025-01-05,purchase,35.58
E0661,U0123,2025-02-01,purchase,94.72
E0662,U0123,2025-03-27,login,
E0663,U0124,2025-01-18,login,
E0664,U0124,2025-04-23,purchase,12.55
E0665,U0124,2025-04-15,login,
E0666,U0124,2025-03-29,feature_used,
E0667,U0125,2025-03-28,purchase,92.09
E0668,U0125,2025-01-30,browse,
E0669,U0125,2025-01-25,browse,
E0670,U0125,2025-01-28,login,
E0671,U0125,2025-04-08,browse,
E0672,U0125,2025-04-19,browse,
E0673,U0125,2025-03-23,feature_used,
E0674,U0126,2025-03-19,browse,
E0675,U0126,2025-04-09,browse,
E0676,U0126,2025-04-26,purchase,32.02
E0677,U0127,2025-01-07,login,
E0678,U0127,2025-04-29,browse,
E0679,U0127,2025-03-22,browse,
E0680,U0127,2025-03-05,browse,
E0681,U0127,2025-03-05,purchase,9.53
E0682,U0127,2025-01-02,login,
E0683,U0127,2025-03-17,purchase,50.18
E0684,U0127,2025-04-09,feature_used,
E0685,U0128,2025-04-18,purchase,9.63
E0686,U0128,2025-04-17,login,
E0687,U0128,2025-02-16,purchase,5.72
E0688,U0128,2025-04-10,feature_used,
